ID,Fields
Asteroid_dataset,"Object_Name,Mass,Distance_from_Earth,Diameter"
astronomical_data,"Object_Type,Description,Example"
Black_Hole_dataset,"Object_Name,Mass,Distance_from_Earth,Diameter"
Comet_dataset,"Object_Name,Mass,Distance_from_Earth,Diameter"
constellationAbrev,"constellationID,Con,ConstellationName"
constellations,"constellationID,pageID,menuID,SubMenuID,ConstellationName,Declination,RightAscension,visableEn,visableCy,descriptionEn,descriptionCy,wikiURL,wikiDataURL,imageURL,Magnitude,soEn,soCy,asoEn,asoCy,bt1En,bt2En,bt3En,bt4En,bt5En,bt1Cy,bt2Cy,bt3Cy,bt4Cy,bt5Cy,bt1Image,bt1AltTextEn,bt1AltTextCy,bt2Image,bt2AltTextEn,bt2AltTextCy,bt3Image,bt3AltTextEn,bt3AltTextCy,bt4Image,bt4AltTextEn,bt4AltTextCy"
constellationsByArea_clean00,"Rank,Abbrev.,Constellation,Solid angle (""Area"") (sq. deg.) ,Solid angle (millisteradians),Per­cent­age,Right ascension (hours & mins) ,Decli­nation (degs & mins) ,Quad "
constellationStars,"starID,constelleationID,Name,B,F,G,Var,HD,HIP,RA,Declination,visMag,abs mag,DistLy,SpClass,Notes"
constellations_clean00,"Constellation,AbreviationIAU,AbreviationNASA,Genitive,Origin,Meaning,Brightesstar"
Galaxy_dataset,"Object_Name,Mass,Distance_from_Earth,Diameter"
messierConstellationTypes,"constellationID,Con,Constellation Name"
messierObjectAbrev,"messierID,Con"
messierObjects,"messierID,NGC,Type,Mag,Size,DistanceLy,RA,Declination,Con,Viewing Season,CommonName,DescriptionEn,DescriptionCy"
messierObjectsTable,"messierID,NGC,CommonName,objecType,Distance,Constellation,aparentMag,RA,Declination"
messierTable,"constellationID,pageID,menuID,SubMenuID,ConstellationName,Declination,RightAscension,visableEn,visableCy,descriptionEn,descriptionCy,wikiURL,imageURL,Magnitude,soEn,soCy,asoEn,asoCy,bt1En,bt2En,bt3En,bt4En,bt5En,bt1Cy,bt2Cy,bt3Cy,bt4Cy,bt5Cy,bt1Image,bt1AltTextEn,bt1AltTextCy,bt2Image,bt2AltTextEn,bt2AltTextCy,bt3Image,bt3AltTextEn,bt3AltTextCy,bt4Image,bt4AltTextEn,bt4AltTextCy"
Nebula_dataset,"Object_Name,Mass,Distance_from_Earth,Diameter"
Planet_dataset,"Object_Name,Mass,Distance_from_Earth,Diameter"
Quasar_dataset,"Object_Name,Mass,Distance_from_Earth,Diameter"
starByConstellation,"constellation,wikiURL"
Star_dataset,"Object_Name,Mass,Distance_from_Earth,Diameter"
types,"Type,descriptionEn,descriptionCy"
